Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
45,0.399,bkybb,37,0.206,uzsdb,20,0.346,oyywc,41,0.922,sfufp,53,0.594,dvanx,97,0.105,kzzae,35,0.873,vvpns,89,0.346,ykizn,80,0.03,jxrwf,56,0.054,yajkg,20,0.188,dprgi,51,0.569,dzyzj,82,0.236,owabw,94,0.187,pdsxt,51,0.567,ojwwr,86,0.35,mdizp,26,0.047,evwth,35,0.985,ckhow,99,0.922,wlpcf,20,0.159,efdbf,70,0.985,zbvbn,74,0.741,makek,82,0.008,ugjmk,67,0.736,bppgy,81,0.658,dtkub,51,0.642,lbkbr,9,0.987,anqet,29,0.5,jnrvp,44,0.771,mvoby,81,0.82,rhnho,93,0.319,fyszb,93,0.053,xlzqa,35,0.252,vchub,27
84,0.063,xwtgy,90,0.588,mooyy,55,0.067,ryrea,97,0.957,wmukp,11,0.562,fhjms,24,0.71,msdku,70,0.1,ytiwf,16,0.521,hadkg,81,0.226,kiezk,4,0.041,dmxrh,18,0.725,aflwb,15,0.354,xsdcu,1,0.24,meyvt,53,0.562,ilzui,76,0.331,cvenv,21,0.888,ehllg,96,0.609,pokzp,97,0.99,qmiot,83,0.115,kcxqa,11,0.634,cpryk,35,0.753,gqyen,23,0.462,khemg,75,0.935,eqoqk,28,0.193,fhhtx,72,0.743,egmhp,42,0.382,wuhkq,24,0.272,ifrtg,37,0.228,xiylc,60,0.542,qsumb,75,0.198,wkhac,68,0.701,njisr,97,0.029,ubrgy,67,0.392,cjuda,26
10,0.148,lhhse,96,0.952,xoeck,89,0.26,olwww,10,0.375,vyijh,75,0.704,jmxli,88,0.429,pnqmh,28,0.716,tnrfn,91,0.046,djroc,82,0.211,xyjrp,97,0.749,rrknz,55,0.27,mtahl,33,0.393,jgrvd,22,0.645,zhtcn,11,0.428,psybf,11,0.701,arske,97,0.51,veaky,92,0.132,edqrc,65,0.452,wmhtg,90,0.024,gapwy,37,0.509,ykqhb,62,0.471,txgye,57,0.285,otkhw,39,0.845,qchtw,85,0.215,witpv,66,0.275,lripb,99,0.315,hmfsx,28,0.951,alxiw,17,0.704,xtvmi,14,0.723,fcvln,46,0.014,jkoyz,91,0.005,ixjrm,10,0.119,qhqpg,79,0.719,xsisg,49
87,0.354,uwfzz,89,0.42,ahfjk,76,0.092,zkuue,2,0.248,vqedr,1,0.623,aixpe,68,0.158,jyvup,72,0.801,rxzuo,55,0.448,aqcyw,71,0.471,wmroz,51,0.868,fkvcc,32,0.681,shtua,14,0.177,musfq,81,0.721,eueve,63,0.679,mbgum,67,0.425,kqlit,84,0.094,tlxli,59,0.826,wifcy,62,0.738,cydby,5,0.781,djcgp,53,0.687,dlzpd,24,0.982,onklj,70,0.486,mehyj,83,0.601,tooha,27,0.094,fwgnu,81,0.814,lqjwo,96,0.078,sqepc,99,0.964,mjqjs,87,0.695,cqxow,58,0.354,tqeik,4,0.705,ulalc,22,0.271,fzkyo,31,0.447,spgyi,9,0.056,vlemv,30
22,0.135,qujls,53,0.411,gvfms,31,0.81,vnvdy,59,0.185,gcyqy,81,0.818,vrjjv,88,0.559,avmzi,74,0.017,hocuh,0,0.088,adnqv,70,0.657,crdyp,32,0.256,esosz,77,0.541,axszq,81,0.652,zotlt,51,0.935,krbej,72,0.888,cpnkj,95,0.187,xkmmj,6,0.476,fnree,56,0.135,mieap,43,0.981,faovk,95,0.353,ixget,20,0.804,harcw,55,0.888,zzbwv,63,0.129,ojahv,25,0.65,qwpvo,31,0.299,hhxhf,53,0.192,atsnu,31,0.325,csber,45,0.461,gmvxh,58,0.46,apteb,5,0.33,dllyn,14,0.507,loblm,40,0.185,ztjdy,8,0.252,oksgl,86,0.59,xcpoc,24
66,0.124,ukbxy,10,0.415,ahohf,13,0.966,qpzoq,66,0.63,extuk,90,0.786,khjhj,91,0.163,zedcs,14,0.874,djlpr,87,0.103,aevey,80,0.363,xljvz,55,0.471,sscgx,37,0.965,vspzf,65,0.886,oveuq,28,0.723,cahei,38,0.062,yzqmq,4,0.654,gnepq,10,0.686,hxomf,78,0.281,ruzsl,47,0.883,fslry,67,0.046,xsubj,88,0.933,bfgfx,58,0.769,oezlq,78,0.508,hugjm,91,0.782,zlglb,38,0.35,xvgjm,1,0.037,gteii,11,0.72,jcqyl,73,0.492,cmjxn,11,0.276,tkuxr,10,0.693,uzpqz,53,0.123,cabms,38,0.239,nmxvm,78,0.802,ollmy,18,0.228,pkeiq,98
48,0.198,fzqpr,6,0.148,ydzjz,22,0.906,pvvzf,63,0.601,vuclo,28,0.214,dqcih,46,0.93,enlog,76,0.843,azegh,11,0.024,yendz,35,0.099,ycayu,5,0.056,wgsda,5,0.638,twkos,59,0.884,zkoxi,40,0.994,fcpvk,30,0.609,vzmos,77,0.715,xdkco,84,0.206,satrz,36,0.135,lnrkv,7,0.407,jsrbf,3,0.879,imsvh,27,0.2,rzzol,20,0.803,mdejg,24,0.452,rxvhx,31,0.614,zxson,14,0.834,atluk,4,0.487,bwyzo,79,0.208,dijwo,61,0.207,lgyhk,68,0.432,gthtr,43,0.627,hlpzx,7,0.762,zhqvg,50,0.205,jtlbt,67,0.582,euqoz,92,0.793,giavt,54
60,0.611,pmqwd,49,0.877,qvlbg,35,0.332,rbiid,19,0.713,ikaba,15,0.583,cprzs,67,0.186,rywls,0,0.974,dwnrf,47,0.515,zplrv,43,0.94,bcovq,55,0.913,oqaqw,14,0.954,hzmrr,25,0.843,eurai,67,0.156,dcenc,1,0.949,hvmwp,38,0.334,ctkeo,21,0.941,ltvvb,19,0.527,gjpka,34,0.913,uvkjn,7,0.009,lqhdb,4,0.457,bahnf,66,0.08,hfhaz,84,0.588,vrtrb,22,0.815,uqkpt,11,0.437,qjjhi,91,0.311,hcxrl,56,0.012,dtrcu,44,0.363,jpwfh,77,0.05,vgrqa,7,0.956,nelqg,50,0.471,fjzid,27,0.301,edefs,99,0.725,qsdje,12,0.918,mockx,72
84,0.876,xxjvo,11,0.554,dxpra,59,0.88,kynip,72,0.505,cqslg,54,0.316,jwala,39,0.446,totkj,93,0.385,sjorz,78,0.211,ygyzc,3,0.931,cdtys,45,0.676,defkj,62,0.818,vafgi,45,0.26,foecy,59,0.077,qdtki,89,0.019,cbchp,48,0.32,fpguq,46,0.637,tbjky,39,0.976,mljpp,92,0.602,yabdu,34,0.7,dcfae,16,0.233,mzcgl,19,0.335,rthtc,6,0.698,priqc,27,0.04,hlfcl,82,0.365,tftrx,51,0.904,zdfec,27,0.771,asdmv,64,0.798,sogii,85,0.217,oacxh,47,0.24,dqelg,35,0.94,xvnfb,17,0.488,elzkz,27,0.583,qoibz,16,0.131,zhnoe,4
91,0.539,smkzc,6,0.698,ffwam,10,0.765,kcpzy,15,0.444,qmvor,53,0.117,gncec,32,0.162,tjhfv,92,0.327,yyrai,83,0.866,npmly,19,0.152,fohlf,56,0.034,tnvww,92,0.372,ymbvu,86,0.666,rpibm,47,0.78,xynud,36,0.635,tpssm,72,0.691,lzkir,68,0.16,khmln,40,0.062,zfmdj,30,0.827,bttez,82,0.592,emclq,6,0.516,yvqku,92,0.073,wrwzo,69,0.245,gttph,3,0.038,ovehz,8,0.678,nezse,69,0.169,eljqz,68,0.727,rjomi,18,0.441,mqwni,65,0.144,ifada,22,0.638,fflnf,44,0.104,kudxh,67,0.892,iowai,2,0.006,tkkgr,94,0.454,fiosz,99
